City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Naliya,IN,2022-01-30 16:09:28,23.2667,68.8333,68.38,84,0,8.1
90,Cape Town,ZA,2022-01-30 16:08:48,-33.9258,18.4232,93.11,51,19,5.01
91,Ileza,RU,2022-01-30 16:12:29,61.0533,43.9002,6.87,98,91,5.61
92,Boyolangu,ID,2022-01-30 16:13:29,-8.1181,111.8935,75.69,92,100,2.75
93,Storozhevaya,RU,2022-01-30 16:13:30,43.8789,41.4514,21.47,87,12,5.66
94,Carnarvon,AU,2022-01-30 16:13:30,-24.8667,113.6333,78.87,78,9,16.11
95,Vestmannaeyjar,IS,2022-01-30 16:13:31,63.4427,-20.2734,29.39,74,40,36.82
96,Lata,PT,2022-01-30 16:11:36,40.1629,-8.3327,65.05,31,90,3.89
97,Bluff,NZ,2022-01-30 16:13:31,-46.6,168.3333,59.81,93,82,2.44
98,Sawtell,AU,2022-01-30 16:13:31,-30.3833,153.1,73.18,94,75,6.91
99,Mitsamiouli,KM,2022-01-30 16:13:32,-11.3847,43.2844,81.59,71,54,2.71
100,Mala Kladusa,BA,2022-01-30 16:13:33,45.1342,15.8586,54.63,68,0,2.93
101,Mar Del Plata,AR,2022-01-30 16:13:33,-38.0023,-57.5575,86.02,56,0,27.0
102,Ozernovskiy,RU,2022-01-30 16:12:15,51.5,156.5167,23.2,94,100,3.65
103,Maunabo,PR,2022-01-30 16:13:34,18.0072,-65.8993,84.69,68,2,6.67
104,Margate,GB,2022-01-30 16:13:34,51.3813,1.3862,46.26,69,97,5.01
105,Salinas,US,2022-01-30 16:09:04,36.6777,-121.6555,52.97,68,0,12.66
106,Inongo,CD,2022-01-30 16:13:35,-1.95,18.2667,84.42,50,100,1.57
107,Hithadhoo,MV,2022-01-30 16:13:35,-0.6,73.0833,82.33,66,100,7.27
108,Kavieng,PG,2022-01-30 16:13:36,-2.5744,150.7967,80.98,76,90,3.27
109,Sistranda,NO,2022-01-30 16:13:36,63.7256,8.834,33.91,63,100,14.25
110,Avarua,CK,2022-01-30 16:13:37,-21.2078,-159.775,78.85,83,20,10.36
111,Jiayuguan,CN,2022-01-30 16:12:29,39.8167,98.3,17.19,47,100,6.8
112,Saurimo,AO,2022-01-30 16:13:37,-9.6608,20.3916,73.36,81,96,4.03
113,Taoudenni,ML,2022-01-30 16:13:38,22.6783,-3.9836,85.5,10,97,17.49
114,Joshimath,IN,2022-01-30 16:13:38,30.5667,79.5667,40.35,54,25,6.46
115,Khatanga,RU,2022-01-30 16:13:39,71.9667,102.5,-10.71,98,98,9.24
116,Pitkyaranta,RU,2022-01-30 16:13:30,61.5734,31.4792,22.64,95,100,10.78
117,Yerbogachen,RU,2022-01-30 16:12:10,61.2767,108.0108,-6.47,100,98,2.39
118,Igrim,RU,2022-01-30 16:13:41,63.1906,64.4162,-2.61,99,98,2.95
119,Cherskiy,RU,2022-01-30 16:13:41,68.75,161.3,-28.88,99,83,2.55
120,Sao Filipe,CV,2022-01-30 16:13:42,14.8961,-24.4956,71.1,71,100,12.3
121,Yangambi,CD,2022-01-30 16:13:42,0.8102,24.4336,87.19,30,60,1.19
122,Yate,GB,2022-01-30 16:13:43,51.5407,-2.4184,47.82,76,91,1.99
123,Kampene,CD,2022-01-30 16:13:43,-3.6,26.6667,78.71,66,49,2.13
124,Chuy,UY,2022-01-30 16:13:44,-33.6971,-53.4616,78.55,56,99,11.52
125,Lagos,NG,2022-01-30 16:13:44,6.5833,3.75,90.86,24,78,7.76
126,Fort Nelson,CA,2022-01-30 16:10:52,58.8053,-122.7002,-5.64,100,98,2.19
127,Deputatskiy,RU,2022-01-30 16:13:44,69.3,139.9,-24.61,100,50,2.64
128,Grand Gaube,MU,2022-01-30 16:13:45,-20.0064,57.6608,81.37,72,36,5.01
129,Tornio,FI,2022-01-30 16:13:46,65.8481,24.1466,8.62,88,100,9.44
130,Vanavara,RU,2022-01-30 16:13:46,60.34,102.2797,-14.73,100,99,1.23
131,Maragogi,BR,2022-01-30 16:13:46,-9.0122,-35.2225,84.31,68,72,11.7
132,Banda Aceh,ID,2022-01-30 16:13:47,5.5577,95.3222,77.85,80,44,5.99
133,Kahului,US,2022-01-30 16:13:47,20.8947,-156.47,72.84,72,0,4.61
134,Carutapera,BR,2022-01-30 16:13:47,-1.195,-46.02,78.98,90,91,7.34
135,Talnakh,RU,2022-01-30 16:14:48,69.4865,88.3972,-9.96,97,93,8.32
136,Xining,CN,2022-01-30 16:14:48,36.6167,101.7667,11.71,68,40,1.63
137,Rocha,UY,2022-01-30 16:14:49,-34.4833,-54.3333,80.49,46,9,11.12
138,Mount Isa,AU,2022-01-30 16:14:49,-20.7333,139.5,74.97,100,100,5.75
139,Venado Tuerto,AR,2022-01-30 16:14:49,-33.7456,-61.9688,86.79,26,0,9.95
140,Beba,CU,2022-01-30 16:14:50,22.4437,-79.7253,64.67,45,2,12.39
141,Pyay,MM,2022-01-30 16:14:50,18.8167,95.2167,63.09,58,0,4.61
142,Saint George,US,2022-01-30 16:14:51,37.1041,-113.5841,45.36,40,0,0.0
143,Geraldton,AU,2022-01-30 16:14:51,-28.7667,114.6,73.81,83,75,19.57
144,Birin,NP,2022-01-30 16:14:52,26.8865,88.0718,42.58,71,53,3.94
145,Shelburne,CA,2022-01-30 16:14:52,44.0787,-80.2041,17.91,74,61,9.35
146,Ginir,ET,2022-01-30 16:14:53,7.1333,40.7,64.06,17,75,6.08
147,Hellvik,NO,2022-01-30 16:14:53,59.9156,5.781,36.16,75,82,4.88
148,Smithers,CA,2022-01-30 16:14:53,54.7804,-127.1743,26.92,100,75,3.44
149,Slobozia,MD,2022-01-30 16:14:54,46.7281,29.7078,36.48,78,87,6.85
150,Provideniya,RU,2022-01-30 16:14:07,64.3833,-173.3,6.71,78,1,8.46
151,West Lafayette,US,2022-01-30 16:14:54,40.4259,-86.9081,28.35,69,0,9.22
152,Airai,TL,2022-01-30 16:14:05,-8.9266,125.4092,62.15,90,98,4.18
153,Providencia,MX,2022-01-30 16:14:55,28.7167,-111.5833,61.86,66,72,4.38
154,Salalah,OM,2022-01-30 16:14:55,17.0151,54.0924,75.29,69,0,4.61
155,Cabo San Lucas,MX,2022-01-30 16:14:56,22.8909,-109.9124,72.52,77,0,1.01
156,Datong,CN,2022-01-30 16:14:56,40.0936,113.2914,13.93,45,3,12.71
157,Le Moule,GP,2022-01-30 16:14:56,16.3332,-61.3473,84.24,65,1,12.24
158,Luderitz,NA,2022-01-30 16:14:57,-26.6481,15.1594,70.3,73,72,5.12
159,Ancud,CL,2022-01-30 16:14:57,-41.8697,-73.8203,60.42,58,31,11.52
160,Quatre Cocos,MU,2022-01-30 16:14:58,-20.2078,57.7625,81.09,78,46,18.3
161,Iqaluit,CA,2022-01-30 16:14:58,63.7506,-68.5145,-11.47,70,75,5.75
162,Castro,BR,2022-01-30 16:14:59,-24.7911,-50.0119,64.87,97,100,5.91
163,Ambulu,ID,2022-01-30 16:10:55,-8.345,113.6058,77.31,90,100,1.88
164,Yulara,AU,2022-01-30 16:14:59,-25.2406,130.9889,73.24,100,40,9.22
165,Norman Wells,CA,2022-01-30 16:12:56,65.282,-126.8329,-23.28,98,97,5.03
166,Nelson Bay,AU,2022-01-30 16:15:00,-32.7167,152.15,73.0,94,40,2.98
167,Chokurdakh,RU,2022-01-30 16:15:00,70.6333,147.9167,-29.33,89,38,0.98
168,Tual,ID,2022-01-30 16:15:01,-5.6667,132.75,83.61,76,100,16.02
