City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Camana,PE,71.29,overcast clouds,-16.6228,-72.7111,Hostal Morales
108,Ahipara,NZ,68.7,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
110,Rakaia,NZ,66.29,overcast clouds,-43.75,172.0167,St Itas Guesthouse
114,Palang,BD,73.44,few clouds,23.2167,90.35,New ma moni alangkar bitan
116,Shepsi,RU,42.46,overcast clouds,44.0361,39.1489,Otel' Chayka
118,Asau,RO,40.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
128,Ocampo,MX,41.11,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
131,Northam,GB,54.09,overcast clouds,51.0333,-4.2167,Durrant House Hotel
135,Moron,AR,74.01,clear sky,-34.6534,-58.6198,Hotel Morón
142,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
147,Puerto Del Rosario,ES,69.55,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
150,Laguna,US,50.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
151,Kaitangata,NZ,59.61,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
155,Ancud,CL,60.42,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
157,Germersheim,DE,42.19,overcast clouds,49.2231,8.3639,Germersheimer Hof
161,Buraydah,SA,63.05,clear sky,26.326,43.975,فندق راحة السلام
166,Kapaa,US,71.31,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
167,Puerto Escondido,MX,70.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
170,Ulfborg,DK,44.96,few clouds,56.2673,8.3217,Hedens Bed And Breakfast
174,Mechetinskaya,RU,41.07,overcast clouds,46.7713,40.456,"Stoyanka Andreyev Stan, Shinomontazh, Dush, Stirka."
176,Hobart,AU,57.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
184,Koutsouras,GR,63.1,overcast clouds,35.0339,25.9469,The White Houses
185,Vila Franca Do Campo,PT,65.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
187,Miraflores,MX,52.03,clear sky,19.2167,-98.8083,Hotel Mansión
188,Portadown,GB,54.99,few clouds,54.4241,-6.4412,Bannview Bed and Breakfast
192,Te Anau,NZ,59.47,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
198,Alice Springs,AU,74.75,thunderstorm with rain,-23.7,133.8833,Desert Palms Alice Springs
201,Awbari,LY,68.27,clear sky,26.5921,12.7805,فندق أوباري
202,Birjand,IR,57.67,scattered clouds,32.8663,59.2211,Birjand Tourist Hotel
206,Lompoc,US,53.78,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
208,Alofi,NU,69.69,few clouds,-19.0595,-169.9187,Taloa Heights
209,Rudbar,AF,67.62,clear sky,30.15,62.6,
214,Faya,SA,66.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
216,Las Cruces,US,46.27,clear sky,32.3123,-106.7783,Days End Lodge
217,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
218,Coihaique,CL,58.95,light intensity drizzle,-45.5752,-72.0662,Diego De Almagro Coyhaique
221,Barpathar,IN,55.89,overcast clouds,26.3,93.8667,chandan jyoti borah
222,Concarneau,FR,55.06,few clouds,47.875,-3.9225,Brit Hotel de L' Océan
224,Akyab,MM,71.2,clear sky,20.15,92.9,Hotel Memory
225,Komsomolskiy,UZ,40.42,haze,40.4272,71.7189,Ikathouse
